,code,model,version,sequentially,train_rmse,train_mae,train_fa,train_ms_rmse,train_ms_mae,train_ms_fa,test_rmse_60,test_mae_60,test_fa_60,test_rmse_30,test_mae_30,test_fa_30,test_rmse_7,test_mae_7,test_fa_7,n_parameters
0,Persistent,Persistent,1,True,9.71,6.76,1.0,18.37,12.29,0.54,20.03,14.28,0.65,34.52,31.17,0.31,20.86,18.43,0.74,0
1,SeasonalPersistent,SeasonalPersistent,1,True,11.21,8.03,0.82,12.77,9.19,0.76,12.55,9.6,1.19,15.3,12.07,1.19,23.08,19.43,1.25,0
2,AR,AR,1,True,8.52,5.81,0.97,24.6,18.34,0.02,26.22,19.46,0.47,36.36,32.82,0.27,49.81,47.83,0.18,9
3,MA,MA,1,True,8.68,6.0,0.9,24.69,18.59,0.0,36.13,30.69,0.1,47.54,45.17,0.0,59.99,58.29,0.0,25
4,ARMA,ARMA,1,True,8.44,5.79,0.97,24.59,18.35,0.02,25.34,18.69,0.5,35.2,31.37,0.31,48.58,46.41,0.2,10
5,ARIMA,ARIMA,1,True,8.44,5.79,0.97,24.59,18.35,0.02,25.34,18.69,0.5,35.2,31.37,0.31,48.58,46.41,0.2,10
6,SARIMAX,SARIMAX,4,True,8.87,6.22,1.0,16.45,12.22,0.96,16.38,11.72,0.75,21.75,18.28,0.6,29.16,27.35,0.53,6
7,Prophet,Prophet,1,True,8.77,6.18,1.0,,,,11.46,9.22,1.17,13.6,11.21,1.12,9.69,7.7,0.98,2219
8,MLP_seq_true_ver_1,MLP,1,True,0.97,0.72,0.98,24.43,16.83,1.55,22.85,16.59,0.55,30.13,25.87,0.43,19.28,16.47,1.09,130901
9,MLP_seq_true_ver_2,MLP,2,True,0.93,0.71,1.01,19.3,12.96,1.23,11.58,8.42,0.92,15.47,12.57,0.81,15.65,13.6,0.97,150901
10,MLP_seq_true_ver_3,MLP,3,True,1.48,1.19,1.03,13.24,9.65,1.19,16.32,11.68,1.23,22.57,18.67,1.23,15.79,14.38,1.11,200901
11,MLP_seq_true_ver_4,MLP,4,True,1.77,1.36,1.01,12.42,8.97,1.18,14.74,11.49,0.8,32.51,28.74,0.37,11.76,10.74,0.92,250901
12,MLP_seq_true_ver_5,MLP,5,True,9.58,6.7,0.97,25.37,19.42,0.0,13.5,11.28,1.14,29.31,25.01,0.45,17.04,14.18,0.85,131303
13,MLP_seq_true_ver_6,MLP,6,True,11.31,7.63,0.99,18.37,13.59,1.23,12.18,9.93,0.89,13.25,10.64,0.88,14.24,12.61,0.96,151303
14,MLP_seq_true_ver_7,MLP,7,True,1.55,1.18,1.02,3.21,2.29,1.01,17.11,12.36,1.27,23.85,19.25,1.32,11.5,8.79,1.15,201303
15,MLP_seq_true_ver_8,MLP,8,True,9.75,6.72,0.98,9.37,6.46,0.97,11.41,8.08,1.0,20.46,17.67,0.67,8.57,7.21,1.02,251303
16,MLP_seq_true_ver_9,MLP,9,True,11.94,7.96,0.99,25.26,20.73,1.63,10.82,8.33,1.01,20.89,17.22,0.65,15.76,13.76,0.96,132107
17,MLP_seq_true_ver_10,MLP,10,True,9.66,6.67,0.95,20.37,15.56,1.14,11.33,8.45,1.0,17.33,13.9,0.77,15.13,13.17,0.94,152107
18,MLP_seq_true_ver_11,MLP,11,True,12.17,8.38,1.01,11.22,7.72,0.98,14.15,10.76,1.22,18.73,15.21,1.2,10.99,9.63,1.07,202107
19,MLP_seq_true_ver_12,MLP,12,True,13.14,8.51,1.0,12.74,8.23,0.98,12.24,9.16,1.13,17.03,13.95,0.73,16.72,14.36,0.78,252107
